StoryID,story_freq,story_emo_score,FILE NAME,n_words
S115,5,3.263,S115_vlasov_n_pod_luchami_krasoti_1920.txt,1619
S058,28,19.44,S058_militsyna_e_v_lesu_1902.txt,2057
S071,22,15.569,S071_remizov_a_krepost_1906.txt,1533
S028,70,47.093,S028_fedorow_a_zerkalo_1909.txt,3852
S083,72,50.14,S083_surguchev_i_sosedka_1909.txt,11319
S102,34,23.559,S102_asheshov_n_telegrafistka_1914.txt,3131
S016,6,4.055,S016_brjusow_w_mramornaja_golovka.txt,1206
S004,29,20.159,S004_arcybashew_m_v_derevne_1906.txt,2125
S043,17,11.59,S043_karmen_l_za_chto_1904.txt,1764
S093,177,121.948,S093_werbickaja_a_pozdno_1904.txt,8961
